headphone_id,brand,model,price,type,use_case,bass_level,sound_profile,noise_cancellation
1,Sony,WH-1000XM5,399,Over-ear,Casual,Medium,Balanced,Yes
2,Bose,QuietComfort 45,329,Over-ear,Casual,Medium,Balanced,Yes
3,Apple,AirPods Max,549,Over-ear,Casual,Low,Balanced,Yes
4,Sennheiser,HD 660S,499,Over-ear,Studio,Low,Flat,No
5,Audio-Technica,ATH-M50x,149,Over-ear,Studio,Medium,Flat,No
6,Beats,Studio Pro,349,Over-ear,Workout,High,Bass-heavy,Yes
7,Sony,WH-CH720N,149,Over-ear,Casual,Medium,Balanced,Yes
8,Beyerdynamic,DT 770 PRO,159,Over-ear,Studio,Medium,Flat,No
9,Shure,SRH440A,99,Over-ear,Studio,Low,Flat,No
10,JBL,TUNE 760NC,129,Over-ear,Workout,High,Bass-heavy,Yes
11,Bose,QuietComfort Ultra,429,Over-ear,Casual,Medium,Balanced,Yes
12,Sony,WH-1000XM4,348,Over-ear,Casual,Medium,Balanced,Yes
13,Sennheiser,Momentum 4,379,Over-ear,Casual,Medium,Balanced,Yes
14,AKG,K371,149,Over-ear,Studio,Medium,Flat,No
15,Audio-Technica,ATH-M70x,299,Over-ear,Studio,Low,Flat,No
16,Beats,Solo 3,199,On-ear,Workout,High,Bass-heavy,No
17,Bose,SoundLink II,229,On-ear,Casual,Medium,Balanced,No
18,Skullcandy,Crusher Evo,199,Over-ear,Workout,High,Bass-heavy,No
19,JBL,Live 660NC,199,Over-ear,Casual,High,Bass-heavy,Yes
20,Sony,MDR-7506,99,Over-ear,Studio,Low,Flat,No
21,Beyerdynamic,DT 990 PRO,169,Over-ear,Studio,Low,Flat,No
22,Sennheiser,HD 600,399,Over-ear,Studio,Low,Flat,No
23,Audio-Technica,ATH-M40x,99,Over-ear,Studio,Medium,Flat,No
24,Focal,Bathys,799,Over-ear,Studio,Low,Flat,Yes
25,Master & Dynamic,MW75,599,Over-ear,Casual,Medium,Balanced,Yes
26,Bang & Olufsen,Beoplay H95,799,Over-ear,Casual,Low,Balanced,Yes
27,Bowers & Wilkins,PX7 S2,399,Over-ear,Casual,Medium,Balanced,Yes
28,Jabra,Elite 85h,249,Over-ear,Casual,Medium,Balanced,Yes
29,Anker,Soundcore Life Q35,129,Over-ear,Casual,High,Bass-heavy,Yes
30,Razer,Barracuda Pro,249,Over-ear,Gaming,High,Bass-heavy,Yes
31,HyperX,Cloud Alpha,99,Over-ear,Gaming,High,Bass-heavy,No
32,SteelSeries,Arctis Nova Pro,349,Over-ear,Gaming,Medium,Balanced,Yes
33,Logitech,G Pro X,129,Over-ear,Gaming,Medium,Balanced,No
34,Corsair,Virtuoso RGB,179,Over-ear,Gaming,High,Bass-heavy,No
35,Grado,SR325x,295,On-ear,Studio,Low,Flat,No
36,Focal,Clear Mg,1490,Over-ear,Studio,Low,Flat,No
37,Audeze,LCD-X,1199,Over-ear,Studio,Low,Flat,No
38,HIFIMAN,Sundara,349,Over-ear,Studio,Low,Flat,No
39,Philips,SHP9500,79,Over-ear,Studio,Low,Flat,No
40,OneOdio,Pro-50,39,Over-ear,Studio,Medium,Flat,No
41,Sony,WH-XB910N,248,Over-ear,Workout,High,Bass-heavy,Yes
42,JBL,Club One,349,Over-ear,Casual,High,Bass-heavy,Yes
43,Marshall,Major IV,149,On-ear,Casual,High,Bass-heavy,No
44,Beats,Studio Buds Plus,169,In-ear,Workout,High,Bass-heavy,Yes
45,Bose,Sport Earbuds,179,In-ear,Workout,High,Bass-heavy,No
46,Jaybird,Vista 2,199,In-ear,Workout,High,Bass-heavy,No
47,Shokz,OpenRun Pro,179,Bone-conduction,Workout,Low,Balanced,No
48,AfterShokz,Aeropex,159,Bone-conduction,Workout,Low,Balanced,No
49,Urbanears,Pampas,149,Over-ear,Casual,Medium,Balanced,Yes
50,Status,Between Pro,399,Over-ear,Studio,Low,Flat,Yes
51,V-MODA,Crossfade M-100,249,Over-ear,Studio,High,Bass-heavy,No
52,Monoprice,Monolith M570,349,Over-ear,Studio,Low,Flat,No
53,Koss,Porta Pro,49,On-ear,Casual,Medium,Balanced,No
54,AKG,K240,69,Over-ear,Studio,Low,Flat,No
55,Yamaha,YH-5000SE,4999,Over-ear,Studio,Low,Flat,No
56,Denon,AH-D5200,599,Over-ear,Studio,Medium,Balanced,No
57,Audio-Technica,ATH-AD900x,149,Over-ear,Studio,Low,Flat,No
58,Grado,SR80x,125,On-ear,Studio,Low,Flat,No
59,Sony,MDR-Z7M2,599,Over-ear,Studio,Medium,Balanced,No
60,Sennheiser,HD 800 S,1699,Over-ear,Studio,Low,Flat,No
61,Sony,WF-1000XM5,299,In-ear,Casual,Medium,Balanced,Yes
62,Apple,AirPods Pro 2,249,In-ear,Casual,Low,Balanced,Yes
63,Samsung,Galaxy Buds2 Pro,229,In-ear,Casual,Medium,Balanced,Yes
64,Jabra,Elite 7 Pro,199,In-ear,Workout,Medium,Balanced,Yes
65,Anker,Soundcore Liberty 4,149,In-ear,Casual,High,Bass-heavy,Yes
66,Bose,QuietComfort Earbuds II,299,In-ear,Casual,Medium,Balanced,Yes
67,Sony,LinkBuds S,199,In-ear,Casual,Medium,Balanced,Yes
68,Nothing,Ear 2,149,In-ear,Casual,Medium,Balanced,Yes
69,Google,Pixel Buds Pro,199,In-ear,Casual,Medium,Balanced,Yes
70,Beats,Fit Pro,199,In-ear,Workout,High,Bass-heavy,Yes
71,Sennheiser,Momentum True Wireless 3,279,In-ear,Casual,Medium,Balanced,Yes
72,JBL,Live Pro 2,149,In-ear,Workout,High,Bass-heavy,Yes
73,Technics,EAH-AZ60,229,In-ear,Casual,Medium,Balanced,Yes
74,Edifier,W820NB,59,Over-ear,Casual,High,Bass-heavy,Yes
75,Cowin,E7,69,Over-ear,Casual,High,Bass-heavy,Yes
76,TaoTronics,SoundSurge 60,59,Over-ear,Casual,High,Bass-heavy,Yes
77,1MORE,SonoFlow,99,Over-ear,Casual,Medium,Balanced,Yes
78,Soundcore,Space Q45,149,Over-ear,Casual,Medium,Balanced,Yes
79,Cleer,Enduro ANC,179,Over-ear,Casual,Medium,Balanced,Yes
80,Mixcder,E9,79,Over-ear,Casual,High,Bass-heavy,Yes
81,Treblab,Z2,89,Over-ear,Workout,High,Bass-heavy,No
82,Mpow,H21,69,Over-ear,Casual,High,Bass-heavy,Yes
83,Status,Audio Between 3ANC,149,Over-ear,Casual,Medium,Balanced,Yes
84,Ausounds,AU-Stream Hybrid,299,Over-ear,Casual,Medium,Balanced,Yes
85,KEF,Mu3,249,In-ear,Casual,Low,Balanced,Yes
86,Devialet,Gemini,349,In-ear,Casual,Low,Balanced,Yes
87,Master & Dynamic,MW08,299,In-ear,Casual,Medium,Balanced,Yes
88,Bang & Olufsen,Beoplay EX,399,In-ear,Casual,Low,Balanced,Yes
89,Bowers & Wilkins,PI7 S2,399,In-ear,Casual,Medium,Balanced,Yes
90,Cambridge Audio,Melomania 1 Plus,129,In-ear,Casual,Medium,Balanced,No
91,Noble,FoKus Pro,449,In-ear,Studio,Low,Flat,Yes
92,Campfire,Audio Ara,1299,In-ear,Studio,Low,Flat,No
93,Shure,AONIC 50,299,Over-ear,Studio,Low,Flat,Yes
94,Shure,AONIC 40,249,Over-ear,Studio,Low,Flat,Yes
95,AKG,N700NC M2,299,Over-ear,Casual,Medium,Balanced,Yes
96,Harman Kardon,FLY ANC,199,Over-ear,Casual,Medium,Balanced,Yes
97,JBL,Tour One M2,299,Over-ear,Casual,High,Bass-heavy,Yes
98,Sony,INZONE H9,299,Over-ear,Gaming,High,Bass-heavy,Yes
99,Razer,Opus X,99,Over-ear,Gaming,High,Bass-heavy,Yes
100,Turtle Beach,Stealth 700,149,Over-ear,Gaming,High,Bass-heavy,No
101,SteelSeries,Arctis 7,179,Over-ear,Gaming,Medium,Balanced,No
102,Logitech,G733,129,Over-ear,Gaming,High,Bass-heavy,No
103,Razer,BlackShark V2,99,Over-ear,Gaming,High,Bass-heavy,No
104,HyperX,Cloud II,99,Over-ear,Gaming,High,Bass-heavy,No
105,Corsair,HS80 RGB,129,Over-ear,Gaming,High,Bass-heavy,No
106,Astro,A50,299,Over-ear,Gaming,High,Bass-heavy,No
107,SteelSeries,Arctis Pro Wireless,329,Over-ear,Gaming,Medium,Balanced,No
108,Logitech,G Pro X Wireless,199,Over-ear,Gaming,Medium,Balanced,No
109,Razer,Kraken V3 Pro,199,Over-ear,Gaming,High,Bass-heavy,Yes
110,HyperX,Cloud Flight S,159,Over-ear,Gaming,High,Bass-heavy,No
111,Turtle Beach,Elite Pro 2,199,Over-ear,Gaming,High,Bass-heavy,No
112,Corsair,Void RGB Elite,99,Over-ear,Gaming,High,Bass-heavy,No
113,EPOS,H6Pro,179,Over-ear,Gaming,Medium,Balanced,No
114,Audeze,Penrose,299,Over-ear,Gaming,Low,Flat,No
115,Drop,PC38X,169,Over-ear,Gaming,Medium,Balanced,No
116,Audio-Technica,ATH-G1,169,Over-ear,Gaming,Medium,Balanced,No
117,Beyerdynamic,MMX 300,299,Over-ear,Gaming,Medium,Flat,No
118,Sennheiser,GSP 670,349,Over-ear,Gaming,Medium,Balanced,No
119,ROCCAT,Elo 7.1 Air,99,Over-ear,Gaming,High,Bass-heavy,No
120,Cooler Master,MH-670,119,Over-ear,Gaming,High,Bass-heavy,No